id,date,bank_rate,Quarter,Year,Month,Week_Num,brm_lookup,,,
brw_081,2015-02-18,1,1,2015,2,8,brm_019,,,
brw_082,2015-02-25,1,1,2015,2,9,brm_019,,,
brw_083,2015-03-04,1,1,2015,3,10,brm_020,,,
brw_084,2015-03-11,1,1,2015,3,11,brm_020,,,
brw_085,2015-03-18,1,1,2015,3,12,brm_020,,,
brw_086,2015-03-25,1,1,2015,3,13,brm_020,,,
brw_087,2015-04-01,1,2,2015,4,14,brm_021,,,
brw_088,2015-04-08,1,2,2015,4,15,brm_021,,,
brw_089,2015-04-15,1,2,2015,4,16,brm_021,,,
brw_090,2015-04-22,1,2,2015,4,17,brm_021,,,
brw_091,2015-04-29,1,2,2015,4,18,brm_021,,,
brw_092,2015-05-06,1,2,2015,5,19,brm_022,,,
brw_093,2015-05-13,1,2,2015,5,20,brm_022,,,
brw_094,2015-05-20,1,2,2015,5,21,brm_022,,,
brw_095,2015-05-27,1,2,2015,5,22,brm_022,,,
brw_096,2015-06-03,1,2,2015,6,23,brm_023,,,
brw_097,2015-06-10,1,2,2015,6,24,brm_023,,,
brw_098,2015-06-17,1,2,2015,6,25,brm_023,,,
brw_099,2015-06-24,1,2,2015,6,26,brm_023,,,
brw_100,2015-07-01,1,3,2015,7,27,brm_024,,,
brw_101,2015-07-08,1,3,2015,7,28,brm_024,,,
brw_102,2015-07-15,0.75,3,2015,7,29,brm_024,,,
brw_103,2015-07-22,0.75,3,2015,7,30,brm_024,,,
brw_104,2015-07-29,0.75,3,2015,7,31,brm_024,,,
brw_105,2015-08-05,0.75,3,2015,8,32,brm_025,,,
brw_106,2015-08-12,0.75,3,2015,8,33,brm_025,,,
brw_107,2015-08-19,0.75,3,2015,8,34,brm_025,,,
brw_108,2015-08-26,0.75,3,2015,8,35,brm_025,,,
brw_109,2015-09-02,0.75,3,2015,9,36,brm_026,,,
brw_110,2015-09-09,0.75,3,2015,9,37,brm_026,,,
brw_111,2015-09-16,0.75,3,2015,9,38,brm_026,,,
brw_112,2015-09-23,0.75,3,2015,9,39,brm_026,,,
brw_113,2015-09-30,0.75,3,2015,9,40,brm_026,,,
brw_114,2015-10-07,0.75,4,2015,10,41,brm_027,,,
brw_115,2015-10-14,0.75,4,2015,10,42,brm_027,,,
brw_116,2015-10-21,0.75,4,2015,10,43,brm_027,,,
brw_117,2015-10-28,0.75,4,2015,10,44,brm_027,,,
brw_118,2015-11-04,0.75,4,2015,11,45,brm_028,,,
brw_119,2015-11-11,0.75,4,2015,11,46,brm_028,,,
brw_120,2015-11-18,0.75,4,2015,11,47,brm_028,,,
brw_121,2015-11-25,0.75,4,2015,11,48,brm_028,,,
brw_122,2015-12-02,0.75,4,2015,12,49,brm_029,,,
brw_123,2015-12-09,0.75,4,2015,12,50,brm_029,,,
brw_124,2015-12-16,0.75,4,2015,12,51,brm_029,,,
brw_125,2015-12-23,0.75,4,2015,12,52,brm_029,,,
brw_126,2015-12-30,0.75,4,2015,12,53,brm_029,,,
brw_127,2016-01-06,0.75,1,2016,1,2,brm_030,,,
brw_128,2016-01-13,0.75,1,2016,1,3,brm_030,,,
